date,SPY,QQQ,IWM,EFA,EEM,AGG,TLT,GLD,USO,VNQ,GSG,HYG
2016-12-22,196.07172366850816,113.5542608451155,124.04077139512205,46.29875224678377,29.40136303659477,89.12102240602304,97.18159611933959,107.59,91.68,61.84134901480124,15.36,59.220990381876746
2016-12-23,196.35881240539078,113.62988805846555,124.70075776376295,46.419468618016474,29.573906246903427,89.14591886446593,97.37957237830437,107.93,92.48,62.002454129465775,15.4,59.33060813362478
2016-12-27,196.84598772974664,114.2159989619285,125.2599128816393,46.36313431144121,29.70331365463492,89.07952830861825,97.0661099682768,108.56,93.84,62.13287255562278,15.62,59.27579925775076
2016-12-28,195.21915271402574,113.3273792050653,123.9766060537264,46.186083633633245,29.927619828036168,89.22060823979456,97.77552489623395,108.86,94.0,61.75696062140553,15.67,59.193585943939745
2016-12-29,195.17566512371027,113.16667137669641,124.08660378183323,46.29875224678377,30.41936797741583,89.49446928266622,98.12198334942234,110.29,93.76,62.5241278340938,15.69,59.27579925775076
2016-12-30,194.46229134456672,112.00390297143926,123.609946960037,46.45970740842738,30.203688964530013,89.67704331124732,98.27046554364591,109.61,93.76,63.314310063162715,15.67,59.29635258620352
2017-01-03,195.94992918494873,113.00596354832756,124.22410094196675,46.74942669938587,30.566029706178192,89.76833032553787,98.6911650939461,110.47,91.52,63.521445210588546,15.42,59.542992527636606
2017-01-04,197.11567377484982,113.62043465679679,126.29572482131182,47.28057873280977,30.798963040094876,89.79322678398076,99.07061959029527,110.86,92.64,64.44971753794135,15.54,59.86499467339646
2017-01-05,196.95907390773152,114.2632659702723,124.83825492389649,47.68296663691879,31.135422300196755,90.16667366062393,100.62143361885276,112.58,93.6,64.65685268536718,15.64,59.77593025010118
2017-01-06,197.66375330067012,115.2653265471606,124.37993105678474,47.522011475275185,31.00601489246526,89.86791615930939,99.69754441035042,111.75,93.44,64.66452435749407,15.58,59.76222803113268
2017-01-09,197.01128285303045,115.6434626139109,123.56411457332585,47.449581652535564,30.98013341091896,90.01729490996665,100.49769845699977,112.67,90.48,64.08147727585099,15.31,59.74852581216417
